cj1,count,stage_average
rusty lay,492,1.6911764705882353
mark poole,491,1.4545454545454546
david dunham,491,1.5107296137339057
marcos telles,490,1.5061728395061729
sharon bird,488,1.68503937007874
daniel galloway,487,1.5228070175438597
roger olivarez,486,1.384
kim cooley,484,1.3584905660377358
ann peace,484,1.4308943089430894
mike bullock,480,1.509090909090909
donnie artley,480,1.6118721461187215
john gossett,480,1.4935897435897436
james nance,478,1.5945945945945945
bill harden,478,1.4713804713804715
collin anderson,476,1.4744525547445255
si millican,475,1.5166666666666666
tom knoflicek,474,1.5458937198067633
dennis beaver,473,1.4976744186046511
david lambert,472,1.5391304347826087
mike lunney,465,1.565217391304348
ram estrada,464,1.5654761904761905
faith massey,464,1.6597014925373135
paul worosello,464,1.7056603773584906
perry morris,460,1.8208955223880596
chuck kuentz,459,1.388663967611336
brian pollard,458,1.558011049723757
jeff dubose,455,1.5559322033898304
charlie munsell,454,1.5573770491803278
jason tucker,453,1.3524590163934427
george jones,452,1.4429824561403508
maria coronado,452,1.3533333333333333
steve sanchez,451,1.3920454545454546
cindy houston,448,1.4827586206896552
charles arsuaga,445,1.4606741573033708
oscar herrera,445,1.5573770491803278
jeremy strickland,443,1.4912280701754386
glen oliver,442,1.3454545454545455
rylon guidry,438,1.2592592592592593
forrester halamicek,436,1.7317073170731707
scott deppe,432,1.5359477124183007
joe menchaca,430,1.4776785714285714
michael brashear,429,1.3967391304347827
mark veenstra,428,1.5454545454545454
stuart bird,424,2.0375
roger duran,423,1.302325581395349
james mallow,421,1.6869565217391305
james keltner,420,1.5323383084577114
stan mauldin,419,1.2366071428571428
rob hartman,419,1.65
george little,417,1.6923076923076923
paul schmidt,415,1.509433962264151
bill watson,413,1.521594684385382
cody myers,413,1.7005649717514124
mark watley,412,1.4037267080745341
ken mclellan,409,1.489051094890511
marty ball,408,1.4271844660194175
john benzer,407,1.6059322033898304
doug grice,405,1.4174757281553398
jim childers,403,1.7253521126760563
terry maxwell,403,1.7096774193548387
robert vetter,402,1.428115015974441
brent cannon,400,1.7777777777777777
darwert johnson,399,1.5611814345991561
paul fullerton,398,1.6703296703296704
bob anderson,397,1.5895953757225434
mark calima,397,1.2623762376237624
julie jezek,397,1.7077625570776256
armando robledo,397,1.3891402714932126
jerriald dillard,396,1.4318181818181819
john young,393,1.6805555555555556
doug fulwood,393,1.580110497237569
kevin arnott,392,1.3092369477911647
wayne maxwell,391,1.9548022598870056
mike devenport,389,1.9567099567099566
frank coachman,389,1.3793103448275863
darin johns,387,1.6379310344827587
brian casey,387,1.3547008547008548
lee south,387,1.525
joyce boelsche,387,1.5470588235294118
rustin honeycutt,386,1.5909090909090908
bruce kenner,385,1.6875
george liverman,383,1.497816593886463
gary hebert,381,1.4126984126984128
don hanna,379,1.572093023255814
bob blanton,379,1.8944723618090453
randy bartlett,378,1.5803571428571428
david brandon,375,1.463768115942029
joe castellano,374,1.528301886792453
jerry gowler,373,1.5735294117647058
matt daily,373,1.53
jim shaw,369,1.5345911949685536
jolette wine,367,1.7619047619047619
charles trayler,365,1.5441176470588236
jennifer dillard,364,1.3986486486486487
jeremy spicer,364,1.3736842105263158
james drew,360,1.7587548638132295
matt fehl,359,1.1111111111111112
emerico perez,358,1.3146853146853146
beth adams,357,1.455497382198953
frank horejsi,356,1.391304347826087
virgil beene,354,1.417142857142857
david mcarthur,354,1.7826086956521738
stephen henry,354,1.6259541984732824
kenneth capshaw,353,1.5661157024793388
jeff king,349,1.4549763033175356
todd dixon,348,1.2085561497326203
joe barrow,346,1.2976744186046512
bob vetter,346,1.425414364640884
richard lovelace,341,1.7333333333333334
ben katz,340,1.3908045977011494
bill goodson,338,1.6305732484076434
frank sosa,338,1.3422459893048129
tim edins,338,1.556701030927835
lisa stiles,335,1.5901639344262295
mark mcgahey,335,1.5018315018315018
russell holcombe,334,1.5060975609756098
wanda avila,333,1.5524475524475525
lucy pascasio,333,1.6341463414634145
gerald fagan,331,1.7008547008547008
matt knight,331,1.25
tony gibbs,329,1.7195121951219512
mike cudd,329,1.7875
randy countryman,328,1.783132530120482
pat norton,328,1.6363636363636365
danny solis,328,1.695945945945946
don lawler,327,1.7428571428571429
ryan johnstone,326,1.7142857142857142
kim rosenberg,325,1.6411483253588517
tom bell,324,1.2549019607843137
j.b. perry,323,1.7725321888412018
michael dick,323,1.404040404040404
frank foster,322,1.3278688524590163
jim egger,320,1.326241134751773
shane shinsato,320,1.2647058823529411
dale stelzer,320,1.6
tiffany lisko,317,1.853658536585366
patrick flaniken,313,1.7053571428571428
bryan christian,313,1.276190476190476
mike henderson,313,1.6176470588235294
christine cumberledge,313,1.3740458015267176
kevin heckaman,310,1.59375
alfred esquivel,309,1.6287425149700598
chris brown,308,1.7625
corey graves,308,1.3395061728395061
bene davis,307,1.4811320754716981
bonnie anderson,307,1.6459627329192548
robert herrings,307,1.6540880503144655
scott taylor,305,1.4741379310344827
"howard, bob",304,1.5588235294117647
buddy richardson,303,1.653225806451613
john canfield,303,1.4705882352941178
jd janda,302,1.548780487804878
beth bronk,302,1.4059829059829059
daniel schmidt,302,1.7272727272727273
jeff stone,301,1.5172413793103448
manny gamez,301,1.4342105263157894
nelson nolden,301,1.8309859154929577
ed stein,300,1.6742424242424243
alan hanna,299,1.5943396226415094
david christy,298,1.5986842105263157
william foster,298,1.6124031007751938
eric rettig,297,1.547008547008547
abby crawford,296,1.4385964912280702
bernard rosenberg,296,1.529126213592233
"garza, leo",295,1.4710743801652892
