,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3,oops
0, 100-Concert Band, Adams Junior High, TEA: 101914056, Katy, Darlene Blose,CCC,Varsity ,2022,173795,1,1,1,1,1,1,1,1,C, The Tahoka Galop (Owens), Joy (15824) (Ticheli/), Viva! (20787) (Wilds/),
1, 100-Concert Band, Beck Junior High, TEA: 101914046, Katy, Brenden Steber,CCC,Varsity ,2022,174512,1,1,1,1,2,1,2,2,2, El Espiritu de Valencia (Robert W. Smith)," Simple Gifts, Four Shaker Songs (676) (Ticheli/)", Into the Arctic (20710) (Balmages/),
2, 100-Concert Band, Beckendorff Junior High, TEA: 101914050, Katy, Susan Steber,CCC,Varsity ,2022,173264,1,1,1,1,1,1,1,1,C, Alamo March (King/Swearingen), Butterflys Ball (15891) (Fraley/), Sunchaser (20746) (Chambers/),
3, 100-Concert Band, Cardiff Junior High, TEA: 101914051, Katy, Daniel Zavala / Dan Brodt,CC,Varsity ,2022,171951,1,1,1,1,2,2,2,2,2, Luna Y Fuego (Vargas), Japanese Pictures (18467)  (Mixon), Sketches of Canada (19608) (play 2 mvts) (Story),
4, 100-Concert Band, Cinco Ranch Jr. High, TEA: 101-914-048, Katy, Rachelle Isaacson / Lisa James,CCC,Varsity ,2022,171872,1,1,1,1,1,1,1,1,C, Peacemaker  (Karl King/ Swearingen), Fantasy on a Theme by Samual Barber (16681) (Barber/Saucedo), Viva! (20787) (Wilds/),
5, 100-Concert Band, Katy Junior High, TEA: 101914041, Katy, Richard Maher / Cindy Gorton,CCC,Varsity ,2022,171038,2,2,2,2,1,1,1,1,2, Vikings Victorious Concert March (Chris Sharp), Tanchozuru (20595) (Standridge/), Japanese Pictures (18467) (Mixon/),
6, 100-Concert Band, Lanier MS, TEA: 101912057, Houston, Leo Hernandez / Donald Jacobs,CCC,Varsity ,2022,172052,1,2,1,1,1,2,2,2,2, Knights of Dunvegan (Richard Meyer), Hypnotic Fireflies (Brian Balmages), Fairest of the Fair (John Phillip Sousa/Larry Clark),
7, 100-Concert Band, Mayde Creek Junior High, TEA: 101914043, Houston, Jeff Eldridge / Kris McKee,CCC,Varsity ,2022,176913,1,1,1,1,1,1,1,1,C, Monterey March (La Plante), Synchronized Energy (21566) (Fhiaras), Tanchozuru (20595) (Standridge),
8, 100-Concert Band, McDonald Junior High School, TEA: 045, Katy, Joe Young / Scott Taylor,CCC,Varsity ,2022,174807,3,1,1,1,1,1,1,1,C, Coast Guards March (King/Swearingen), Joy (Ticheli), Moscow 1941 (Balmages),
9, 100-Concert Band, McMeans Junior High, TEA: 101914047, Katy, Meredith Hernandez / Joseph Semmler,CCC,Varsity ,2022,174259,1,1,1,1,1,1,1,1,C, Big Four March (Karl King/James Swearingen), Sparks (17454)  (Balmages), Bazaar (20756)  (Standridge),
10, 100-Concert Band, Memorial Parkway JH, TEA: 101914044, Katy, David Lorine,CC,Varsity ,2022,176601,1,1,1,1,1,1,1,1,C, Marche Diabolique (Brian Balmages), Lullabye (17511)  (Standridge), La Madre de los Gatos (17509)  (Beck),
11, 100-Concert Band, Morton Ranch Junior High, TEA: 101914049, Katy," John Liner / Mark Rios, Isabell", Acc:N/A,CCC,Varsity ,2022,176830,1,1,2,1,1,1,1,1,C, Aquia Landing (Paul Murtha), With Uncommon Valor (21568) (Stalter/), Contempo (16202) (Story/)
12, 100-Concert Band, Pershing MS, TEA: 101912064, Houston, Tyler Atkins,CCC,Varsity ,2022,171570,1,1,1,1,1,1,1,1,C, Our Kingsland Spring (15850)  (Hazo), Canterbury Walk (153)  (Strommen), The Big Circus March  (Foster ),
13, 100-Concert Band, Seven Lakes JH, TEA: 101914053, Katy, Adam R. Seltzer / Mr. John Shaw,CCC,Varsity ,2022,171927,1,1,1,1,2,1,1,1,C," New Forrest March (Vinson, J.)", Where Words End... (22333) (Standridge/), Lone Eagle (24129) (Sheldon/),
14, 100-Concert Band, Stockdick JH, TEA: '101914055, Houston, George Liverman / Kelsey Wells,CCC,Varsity ,2022,172684,1,1,1,1,1,1,1,1,C, La Matriarca (Matthew Putnam)," Simple Gifts, Four Shaker Songs (676) (Ticheli)", Summer Resounding (17469) (Balmages/),
15, 100-Concert Band, Tays Junior High, TEA: 101914, Katy," Donnie Artley / Joseph Cherwink, Nicole Richardson",CCC,Varsity ,2022,172598,1,1,1,1,1,1,1,1,C, Marche Diabolique (Brian Balmages), Beautiful River (18198) (Robert Lowry/Carol Brittin Chambers), The Old Red Mill (17549) (Brant Karrick),
16, 100-Concert Band, West Memorial Junior High, TEA: 101914042, Katy, Molly Casillas / Tom Fesler,CC,Varsity ,2022,176214,2,2,3,2,1,1,1,1,2," Moscow, 1941 (15892) (Balmages/)", Lassus Trombone March (Fillmore/arr. Balent), Egyptique (19576) (Owens/),
17, 100-Concert Band, WoodCreek Junior High, TEA: 101914052, Katy, Bobby Guess / Bryan Cremer,CCC,Varsity ,2022,175124,1,1,1,1,1,1,1,1,C, Hawkeye Overture (Sheldon), Into The Arctic (Balmages), Photo Finish! Galop (Swearengin),
