,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
12, 100-Concert Band, Friendswood Junior High, TEA:, Friendswood," Thomas Landfried / Jason Abbott, Wayne Steinke",CCC,Varsity ,2020,157033, , , , , , , , , , Our Flirtations (Sousa), Fantasy on a Japanese Folk Song (Hazo), Spoon River (Grainger/Sheldon),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
13, 100-Concert Band, LEAGUE CITY INTERMEDIATE, TEA:, LEAGUE CITY, Rick Brockway,CCC,Varsity ,2020,158007, , , , , , , , , , The Thunderer (Sousa/Brion&Schissel), Appalachian Morning (17446)  (Sheldon), La Tregenda (18482)  (Puccini/Beck),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
14, 100-Concert Band, Manvel Junior High School, TEA:, Manvel," Ben Muths / Hannah Fry, Alex Kang",CCC,Varsity ,2020,157090, , , , , , , , , , Travelin� Music (21583)  (LaPlante), Fantasy on a Theme by Samual Barber (16681)  (Barber/Saucedo), War March of the Priests (Mendelssohn/Stalter),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
15, 100-Concert Band, McAdams Junior High, TEA:, Dickinson, John R Hinojosa,CCC,Varsity ,2020,160798, , , , , , , , , , Circus Days - Galop or March (Karl L. King), Heaven's Light (Reineke), Brave Spirit (Randall D. Standridge),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
16, 100-Concert Band, Nolan Ryan Junior High, TEA:, Pearland," Beau Hunter / Michael Krueger, Lou Boldrighini",CC,Varsity ,2020,160502, , , , , , , , , , Homeward Bound March (Sousa), A Simple Song (17558)  (Bernstein/Sweeney)," Armenian Dances, Set I (567)  (Reed)",DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
17, 100-Concert Band, Rodeo Palms Junior High, TEA:, Manvel, Theron Sharp / Brian Wood,CC,Varsity ,2020,157372, , , , , , , , , , Fidelity March (King arr. Glover), Abracadabra (15823)  (Ticheli), Sundance (17516)  (Strommen),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
18, 100-Concert Band, Seabrook Intermediate, TEA:, Seabrook, Austin Tran / Matthew McCoy,CC,Varsity ,2020,156420, , , , , , , , , , The Washington Post (Sousa), Glaciers (Director), Dublin Dances (Van der Roost),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
19, 100-Concert Band, Space Center Intermediate, TEA:, Houston, Bernadette Walls,CCC,Varsity ,2020,156773, , , , , , , , , , Mighty Mite (Ted Mesang/Sean O'Loughlin), Our Kingsland Spring (15850)  (Hazo), Fireball! (19604)  (Beck),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
20, 100-Concert Band, Stephen F. Austin Middle School, TEA:, Galveston," Brandi Swann / Andrew Vowell, Steven Farrell",CC,Varsity ,2020,160556, , , , , , , , , , The Lone Eagle March (Edmondson), Colliding Visions (17502)  (Balmages), Pinnacle (638)  (Grice),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
21, 100-Concert Band, Victory Lakes Intermediate School, TEA:, League City, Bennett Parsons / Travis Howell,CCC,Varsity ,2020,156550, , , , , , , , , , March of the Buccaneers  (Flowers ), Butterfly s Ball (15891)  (Fraley), Imaginarium (20603)  (Standridge),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
22, 100-Concert Band, Westbrook Intermediate, TEA:, Friendswood, Jane Maloy / Martin Andrada,CCC,Varsity ,2020,158930, , , , , , , , , ," O Waly, Waly (Rhapsody for Band) (18211)  (Bocook)", J. S. Jig (17450)  (Karrick), Trombone King (King/Paytner),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
