,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3,oops
0, 100-Concert Band, Beck Junior High, TEA:, Katy, Brenden Steber,CC,Sub Non-Varsity ,2018,133563,1,2,1,1,1,2,2,2,2, March of the Patriots (Edmondson), Plaza de Toros  (Story), Fortis  (Gazlay),
1, 100-Concert Band, Beck Junior High, TEA:, Katy, Pamela Smith,CC,Non-Varsity ,2018,133537,1,1,1,1,1,1,1,1,D, And to the Republic (Huckeby), Storm Mountain Jubilee (Strommen), Night Fury (/Brittin Chambers),
2, 100-Concert Band, Beckendorff JH, TEA:, Katy, Darlene Blose,CCC,Non-Varsity ,2018,133455,1,1,1,1,1,1,1,1,D, Andalucia (Victor Lopez), Quintology  (Meyer), Japanese Pictures  (Mixon),
3, 100-Concert Band, Beckendorff JH, TEA:, Katy, Randallyn Holdford,CCC,Sub Non-Varsity ,2018,133260,1,1,1,1,1,1,1,1,D, Plaza de Toros (Story), Big Sky Round-Up  (Sheldon), Night Fury  (Chambers),
4, 100-Concert Band, Cinco Ranch Jr. High, TEA:, Katy, Lisa James / Rachelle Isaacson,CCC,Non-Varsity ,2018,134114,2,1,1,1,1,1,1,1,D, Canterbury Walk  (Strommen), Contempo  (Story), Photo Finish! (Swearingen),
5, 100-Concert Band, Cinco Ranch Jr. High, TEA:, Katy, Rachelle Isaacson / Lisa James,CCC,Sub Non-Varsity ,2018,134111,3,2,2,2,1,1,1,1,2, Laredo (John Higgins), Dance Celebration  (Smith), Majestica  (Gazlay),
6, 100-Concert Band, Hamilton MS, TEA:, Houston," Justin Mclean / Bolaji Jola-Isiba, Robert Green",CCC,Non-Varsity ,2018,130808,2,2,2,2,2,2,2,2, , Little Brazil Suite  (Balent), March of the Minutemen (Edmonton), Majestica  (Gazlay),
7, 100-Concert Band, Hogg MS, TEA:, Houston, David Sells,CC,Non-Varsity A,2018,134000,3,3,2,3,2,2,2,2, , Macarena (Bernadino Monterde/Michael Story), Mythos (Chris Bernotas), Voodoo Dance (Elliot del Borgo),
8, 100-Concert Band, Katy Junior High, TEA:, Katy, Cindy Gorton / Richard Maher,CCC,Non-Varsity ,2018,131032,1,1,1,1,1,2,1,1,D, March Royale (Mark Williams), Egyptique  (Owens), Dorian Chant  (Calhoun),
9, 100-Concert Band, Lanier MS, TEA:, Houston, Leo Hernandez / Don Jacobs,CCC,Non-Varsity ,2018,130203,4,4,3,4,2,2,2,2, , Big Sky Round-Up (Robert Sheldon), Corps of Discovery (The Great Voyage) (William Owens), Castlewood March (Ralph and Jack Hale),
10, 100-Concert Band, Mayde Creek JH, TEA:, Houston, Kris McKee / Jeff Eldridge,CCC,Non-Varsity ,2018,135379,1,1,1,1,1,2,2,2,2, Manchester March (John Edmondson), Plaza de Toros (Michael Story), Elizabethan Dance (Mark Williams),
11, 100-Concert Band, McDonald Junior High School, TEA:, Katy, Jeffrey Tipps / Joe Young,CCC,Non-Varsity ,2018,134471,2,2,2,2,2,2,2,2, , Andalucia (Victor Lopez), Shenandoah  (Anon. or Trad./Smith/Story), Summit Fanfare  (Owens),
12, 100-Concert Band, McMeans Junior High, TEA:, Katy, Joe Semmler / Rachel Luegering,CCC,Non-Varsity ,2018,134592,2,2,2,2,1,1,1,1,2, Miracle at Dunkirk (John Edmondson), Broken Bow  (Strommen), Corps of Discovery  (Owens),
13, 100-Concert Band, McMeans Junior High, TEA:, Katy, Rachel Luegering / Joe Semmler,CCC,Sub Non-Varsity ,2018,134481,2,1,1,1,1,1,1,1,D, Omega March (Edmonson), Nottingham Castle  (Daehn), Dance Celebration  (Smith),
14, 100-Concert Band, Memorial Parkway JH, TEA:, Katy, Cissy Bell,CC,Non-Varsity ,2018,134228,1,1,1,1,1,1,1,1,D, Spania Spanish March (David Shaffer), Dancing Kites (Chris M. Bernotas), Cascadia Celebration (Steve Hodges),
15, 100-Concert Band, Meyerland Middle School, TEA:, Houston, Candace Jordan,CCC,Sub Non-Varsity ,2018,133835,2,3,3,3,2,1,2,2, , The Lone Eagle March (Edmondson), Big Sky Round-Up  (Sheldon), Shepherd's Hey  (Traditional/Roszell),
