,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3,oops
0, 100-Concert Band, Austin MS, TEA:, Amarillo, Rosalinda Morales,CC,Varsity ,2012,77009,2,2,1,2,2,3,3,3, , Forward March (Murtha), Homeward Bound  (Keen/Althouse/Karrick), Pinnacle  (Grice ),
1, 100-Concert Band, Bonham MS, TEA:, Amarillo, Mike Ellis,CC,Varsity ,2012,74448,1,1,1,1,1,1,1,1,C, Pink Lemonade (Weidt arr. Contorno), Sparks  (Balmages/ ), Deir in De  (Anon. or Trad./Barker),
2, 100-Concert Band, Borger Middle School, TEA:, Borger, James Carter,CC,Non-Varsity ,2012,75439,1,1,1,1,1,2,1,1,D, Excitaion March (Grice), Skye Boat Song  (O'Reilly), Dance Celebration  (Smith ),
3, 100-Concert Band, Borger Middle School, TEA:, Borger, Nick Mears,CC,Varsity ,2012,75365,2,1,1,1,1,1,1,1,C, Adrenaline Engines  (Standridge/ ), Flight of Eagles  (Del Borgo/ ), Lone Eagle March (Edmondson),
4, 100-Concert Band, Bowie MS, TEA:, Amarillo, Neil Barbaro,CCC,Varsity ,2012,76030,2,2,3,2,3,2,3,3, , Colliding Visions  (Balmages/ ), Knights of Dunvegan  (Meyer/ ), March Chromatica (Mark Williams),
5, 100-Concert Band, Bushland High School, TEA:, Bushland, Gregg Diamond / Joe Woolsey/Gregg Diamond, Acc:NA,AA,Varsity ,2012,76552,1,1,1,1,1,1,1,1,C, The Lone Eagle March (John Edmondson), In The Bleak Midwinter  (Holst/Bullock), Pinnacle  (Grice/ )
6, 100-Concert Band, Canadian High School, TEA:, Canadian, Will Brewer / Bryce Victory,A,Non-Varsity ,2012,76828,3,1,2,2,1,1,2,1,2, Eagle Lake March (Navarre), American Folk Tune Adventure  (Gorham/ ), Crusade  (Gassi/ ),
7, 100-Concert Band, Canadian Middle School, TEA:, Canadian, Bryce W. Victory / Will Brewer,C,Varsity ,2012,76167,2,2,2,2,1,1,2,1,2, Coast Guards March (Karl King/Swearingen), Two English Dances  (Anon. or Trad./O'Reilly), Theme and Variations (Broege/ ),
8, 100-Concert Band, Canyon JH, TEA:, Canyon, David Lough / Lesley Zorn, Acc:None,CC,Non-Varsity ,2012,73742,2,1,1,1,2,1,2,2,2, Newcastle March (Johnnie Vinson), Russian Sailor's Dance  (Gliere/Williams), Voodoo Dance  (Del Borgo/ )
9, 100-Concert Band, Canyon JH, TEA:, Canyon," Lesley Zorn / David Lough, Mike Sheffield, and Luis Hernandez",CC,Varsity ,2012,73737,1,1,1,1,1,1,1,1,C, The Pride Of Buxtmont (David Holsinger), Ghost Fleet  (Sheldon/ ), Sparks  (Balmages/ ),
