,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3,oops
0, 100-Concert Band, Bandera MS, TEA: 010902041, Bandera, Sam Huerta,CC,Varsity ,2022,174870,3,2,1,2,2,2,3,2, , Red Giant (Vargas), Armed Forces March (Sweeney), Where Words End... (Standridge),
1, 100-Concert Band, Bandera, TEA: 0109020001, Bandera, Joe Cortez / Toni Batto,AAAA,Varsity ,2022,175725,1,1,1,1,2,2,1,2,1, Royal Brigade (Concert March) (Robert Wall), On A Hymnsong of Philip Bliss (David R. Holsinger), Barbarossa (William Himes),
2, 100-Concert Band, Boerne North MS, TEA: 130901041, Boerne, Evan Jose / Jon Rickman,CC,Non-Varsity ,2022,177103,2,2,2,2,1,1,1,1,2, Plaza de Toros (20709)  (Story), Armory (19597)  (Standridge), Paso Flamenco (Lopez),
3, 100-Concert Band, Boerne North MS, TEA: 130901041, Boerne, Jonathan Rickman / Evan Jose,CC,Varsity ,2022,177102,1,1,1,1,1,1,1,1,C, Darkland's March (Standridge), Maesong (15819)  (Owens), Our Kingsland Spring (15850)  (Hazo),
4, 100-Concert Band, Boerne South MS, TEA: 130901042, Boerne, Jeremy Hudson / Chelsea Martinez,CC,Varsity ,2022,175731,1,1,1,1,1,1,1,1,C, Newcastle March (Johnnie Vinson), Sunchaser (Carol Brittin Chambers)," Moscow, 1941 (Brian Balmages)",
5, 100-Concert Band, Boerne South MS, TEA: 130901042, San Antonio, Chelsea Martinez / Jeremy Hudson,CC,Non-Varsity ,2022,175732,3,2,1,2,1,1,1,1,2, Conviction (18460)  (Clark), Macarena (Story), Majestica (17490)  (Gazlay),
6, 100-Concert Band, Boerne, TEA: 130-901-001, Boerne, Daniel Person / Julie Haffner,AAAA,Non-Varsity A,2022,172232,1,1,1,1,1,1,2,1,C, Sketches of Canada (19608) (play 2 mvts) (Story), Egyptique (19576)  (Owens), Alamo March (King/arr. Swearingen),
7, 100-Concert Band, Boerne, TEA: 130-901-001, Boerne, Daniel Person / Julie Haffner,AAAA,Varsity ,2022,172231,1,1,1,1,1,1,1,1,A, Fortress (291)  (Ticheli), Caccia (209)  (Dello Joio), Hosts of Freedom (King/arr. Glover),
8, 100-Concert Band, Boerne-Samuel V. Champion High School, TEA: 130901002, Boerne," Jason Younts / Matthew Pehl, Daniel DeSalles, Chelsea Martinez, Tivo Tristan",AAAAA,Varsity ,2022,175715,1,1,1,1,1,1,1,1,A, Hamamatsu Concert March (Ito), First Suite in Eb (362) (play two mvts) (Holst/Matthews), Give Us This Day (17442) (play all) (Maslanka),
9, 100-Concert Band, Center Point ISD, TEA: 133-901, Center Point, Tamara Raatz,AA,Varsity ,2022,175598,2,2,2,2,2,1,1,1,1, Mythos (Chris Bernotas), Shadow Cove March (Randall Standridge), Zig Zag (Sean O'Loughlin),
10, 100-Concert Band, Champion, TEA: 130901002, Boerne, Chelsea Martinez / Tivo Tristan Jason Younts Matt Pehl,AAAAA,Sub Non-Varsity A,2022,176101,1,1,1,1,1,1,1,1,C, The U.S. Field Artillery (March) (Romeyn), Hawkeye Overture (22332)  (Sheldon), La Madre de los Gatos (17509)  (Beck),
