,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3,oops
0, 100-Concert Band, Adams Junior High, TEA:, Katy, Darlene Blose / Randallyn Holdford,CCC,Non-Varsity A,2021,164246,1,1,1,1,1,1,1,1,D, Spitfire (Michael Story), Heroes Triumphant (Owens/), Bazaar (Standridge/),
1, 100-Concert Band, Cardiff Junior High, TEA:, Katy,  Dan Brodt / Daniel Zavala,CC,Non-Varsity ,2021,164153,1,1,2,1,1,2,2,2,2, Plaza de Toros  (Story), Qin Shi`s Stone Army  (Arcari), Call to Duty (Milford),
2, 100-Concert Band, Cinco Ranch Jr. High, TEA:, Katy, Lisa James / Rachelle Isaacson,CCC,Non-Varsity A,2021,163753,1,1,1,1,1,1,1,1,D, Heroes Triumphant (Owens/), Bazaar (Standridge/), Photo Finish! (),
3, 100-Concert Band, Cinco Ranch Jr. High, TEA:, Katy, Rachelle Isaacson / Lisa James,CCC,Sub Non-Varsity A,2021,163672,1,1,1,1,1,1,1,1,D, Plaza de Toros (Michael Story), Conviction (Clark/), Dance Celebration (Smith/),
4, 100-Concert Band, Katy Junior High, TEA:, Katy, Cindy Gorton / Richard Maher,CCC,Non-Varsity A,2021,163102,1,1,1,1,2,1,1,1,D, Dance Celebration (Smith/), Dorian Chant (Calhoun/), Tuskegee Airmen March (Hannickel),
5, 100-Concert Band, McDonald Junior High School, TEA:, Katy, Jeffrey Tipps / Joe Young,CC,Non-Varsity A,2021,164351,2,1,2,2,1,1,2,1,2, Fighting Falcon March (Stalter), Dorian Chant (Calhoun), Serengeti Dreams (Smith/),
6, 100-Concert Band, Memorial Parkway JH, TEA:, Katy, Israel Hernandez,CC,Non-Varsity A,2021,163792,1,1,1,1,1,1,1,1,D, March of the Dragons (Mike Collins-Dowden), Mystery Ride (White/), Corps of Discovery (Owens/),
7, 100-Concert Band, Morton Ranch Junior High, TEA:, Katy, M. Cecilia Bell (Cissy),CCC,Non-Varsity ,2021,164354,1,1,1,1,1,1,1,1,D, Andalucia (Victor Lopez), Plaza de Toros (Michael Story), Dance Celebration (Robert W. Smith),
8, 100-Concert Band, Seven Lakes JH, TEA:, Katy, Adam R. Seltzer / Roger Marquis,CCC,Sub Non-Varsity A,2021,163506,1,1,1,1,2,2,3,2,2, To The Fore  (Bernotas), Elizabethan Dance (Williams), Dorian Chant (Calhoun),
9, 100-Concert Band, Seven Lakes JH, TEA:, Katy, Roger Marquis / Adam Seltzer,CCC,Non-Varsity A,2021,163509,1,1,1,1,1,1,1,1,D, Regal Fanfare and March (Watson), Danza de Espana (Chambers/), Armory (Standridge/),
10, 100-Concert Band, Stockdick JH, TEA:, Katy, George Liverman / Kelsey Wells,CCC,Sub Non-Varsity A,2021,164142,1,1,1,1,2,1,1,1,D, Fortitude (William Owens), Elizabethan Dance (Williams/), Fortis (Gazlay/),
11, 100-Concert Band, Stockdick JH, TEA:, Katy, Kelsey Wells / George Liverman,CCC,Non-Varsity A,2021,164252,1,1,1,1,1,1,1,1,D, March to Buckingham Palace (Mekel Rogers), Mystery Ride (White/), Bazaar (Standridge/),
12, 100-Concert Band, Tays Junior High, TEA:, Katy, Nicole Richardson,CCC,Sub Non-Varsity ,2021,164155,1,1,1,1,1,1,1,1,D, March for Patriot Day (John O'Reilly), Elizabethan Dance  (Williams), Plaza de Toros  (Story),
13, 100-Concert Band, Tays Junior High, TEA:, Katy, Tammy Disharoon,CCC,Non-Varsity ,2021,164151,1,1,1,1,1,1,1,1,D, Legacy March (Victor Flowers), With Uncommon Valor  (Stalter), Colliding Visions  (Balmages),
14, 100-Concert Band, West Memorial Junior High, TEA:, Katy, Dennis Beaver,CC,Non-Varsity A,2021,163477,2,2,2,2,2,1,2,2, , Crown Point March (Pearson), Crusade (Gassi/), Plaza de Toros (Story/),
15, 100-Concert Band, WoodCreek Junior High, TEA:, Katy, Bobby Guess / Bryan Cremer, Acc:NA,CCC,Sub Non-Varsity A,2021,163848,1,1,1,1,1,2,1,1,D, Yorkshire March (Crummel), Sakura  (Traditional/Story), Elizabethan Dance (Williams)
16, 100-Concert Band, WoodCreek Junior High, TEA:, Katy, Bryan Cremer / Bobby Guess,CCC,Non-Varsity A,2021,164290,1,1,1,1,1,1,1,1,D, Land of Liberty (Swearingen), Colliding Visions (Balmages), Red Giant (Vargas),
