,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3,oops
0, 100-Concert Band, Cinco Ranch High School, TEA:, Katy, Michael Ouellette,AAAAA,Sub Non-Varsity A,2010,58001,1,1,1,1,1,1,1,1,C, A Longford Legend (play all) (Sheldon), Loch Lomond  (Ticheli), Coat of Arms (George Kenny),
1, 100-Concert Band, Cinco Ranch High School, TEA:, Katy, Ray Jones,AAAAA,Non-Varsity ,2010,58072,1,1,1,1,1,1,1,1,C, The Purple Carnival (Alford), An American Elegy  (Ticheli), Sound Prisms  (Balmages),
2, 100-Concert Band, Cinco Ranch High School, TEA:, Katy, Ray Jones,AAAAA,Sub Non-Varsity B,2010,58068,2,2,1,2,3,2,2,2, , Von Grrrhart's 613th Regimental March (Holsinger)," Moscow, 1941  (Balmages)", What Goes in the Night  (Giroux),
3, 100-Concert Band, Elsik HS, TEA:, Houston, Ryan Clift,AAAAA,Non-Varsity ,2010,57182,2,1,2,2,3,2,2,2, , Winchester March (John Edmonson), Old Churches  (Colgrass), West Highlands Sojourn  (Sheldon),
4, 100-Concert Band, Hastings HS, TEA:, Houston, Lance W. Bell / Erich Sonnier,AAAAA,Non-Varsity ,2010,58527,2,2,2,2,2,2,2,2, , Rough Riders (King), Variation Overture  (Williams), Kinder Legende  (Schumann/Foster),
5, 100-Concert Band, HSPVA, TEA:, Houston, Stephen Crawford / none, Acc:none,AAAAA,Non-Varsity A,2010,58783,2,2,2,2,2,2,2,2, , March of the Combat Patrol (Holsinger), With Quiet Courage  (Daehn), Variations on a Shaker Melody  (Copland)
6, 100-Concert Band, James E. Taylor High School, TEA:, Katy, Bruce Melville,AAAAA,Non-Varsity ,2010,58258,1,1,1,1,1,1,1,1,C, Second Suite in F for Military Band  (Holst/Matthews), Strange Humors (John Mackey), Flying Eagle March (H. L. Blankenburg),
7, 100-Concert Band, James E. Taylor High School, TEA:, Katy, Bruce Melville,AAAAA,Sub Non-Varsity C,2010,58253,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA, , Von Grrrhart's 613th Regimental March (David R. Holsinger), West Highlands Sojourn  (Sheldon), Knights of Dunvegan  (Meyer),
8, 100-Concert Band, James E. Taylor High School, TEA:, Katy, Christopher Bailey / Amy Bennett,AAAAA,Sub Non-Varsity B,2010,57331,1,1,1,1,2,2,2,2,2, Lexington March (Karl L. King/arr. Swearingen),  Sparks  (Balmages), Cajun Folk Songs  (Ticheli),
9, 100-Concert Band, James E. Taylor High School, TEA:, Katy, Joel May,AAAAA,Sub Non-Varsity A,2010,58271,1,1,1,1,1,1,1,1,C, His Majesty (Wood), With Quiet Courage (Daehn), Sun Dance  (Ticheli),
10, 100-Concert Band, Katy HS, TEA:, Katy," Andrew Lee / Terence Gorton, Dale Fremin",AAAAA,Sub Non-Varsity A,2010,58027,1,1,1,1,2,2,2,2,2, Free World March (King/Swearingen), Cradlesong  (Barton), Abracadabra  (Ticheli),
11, 100-Concert Band, Katy HS, TEA:, Katy, Dale Fremin,AAAAA,Sub Non-Varsity B,2010,58278,2,1,1,1,2,2,2,2,2, New South Wales March (John Edmondson), As Summer Was Just Beginning  (Daehn), Knights of Dunvegan  (Meyer),
12, 100-Concert Band, Katy HS, TEA:, Katy, Dale Fremin,AAAAA,Non-Varsity ,2010,58273,1,1,1,1,1,1,1,1,C, Sound Off (J.P. Sousa/Bourdeois), In Heaven's Air  (Hazo), Summer Dances  (Balmages),
