,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3,oops
0, 100-Concert Band, Carver Middle School, TEA:, Waco, Michelle Nelson / Austin Holder,CC,Non-Varsity ,2017,127508,2,3,2,2,2,2,3,2, , March Zuma (O'Reilly), Crusade  (Gassi/ ), Soldiers' Procession and Sword Dance  (Margolis/ ),
1, 100-Concert Band, Cesar Chavez Middle School, TEA:, Waco," Zachary Cain / Stephanie Fernihough, Andrew Vowell",CC,Varsity ,2017,127395,1,2,3,2,2,3,3,3, , Big Circus March (Foster/), Song of Hope (Swearingen/), Fireball! (Beck/),
2, 100-Concert Band, Cesar Chavez MS, TEA:, Waco," Stephanie Fernihough / Zachary Cain, Andrew Vowell",CC,Non-Varsity ,2017,127404,3,2,3,3,4,3,3,3, , Forward March (Murtha/), Armory (Standridge/), Elizabethan Dance (Williams/),
3, 100-Concert Band, China Spring Middle School, TEA:, China Spring, Michael Loudermilk / Ian Mitchell,CC,Non-Varsity ,2017,125168,1,1,1,1,1,2,1,1,D, The Sardar's March (Ippolitov-Ivanov/John Moss), Distant Horizons (Michael Sweeney), Phantom Ship (Elliot Del Borgo),
4, 100-Concert Band, China Spring Middle School, TEA:, China Spring, Michael Loudermilk / Ian Mitchell,CC,Varsity ,2017,125162,1,1,1,1,1,1,1,1,C, St. Petersburg March (Johnnie Vinson), Barbarossa (Himes), Steppes of Russia (Del Borgo),
5, 100-Concert Band, Clifton Middle School, TEA:, Clifton," Bryan Bronstad / Keith Zuehlke, Stephanie Colburn",C,Varsity ,2017,124145,1,1,1,1,1,1,1,1,C, Darklands March  (Standridge), Slane  (Anon. or Trad./Wagner), La Madre de los Gatos  (Beck/ ),
6, 100-Concert Band, Clifton Middle School, TEA:, Clifton," Stephanie Colburn / Keith Zuehlke, Bryan Bronstad",C,Non-Varsity ,2017,128042,1,1,1,1,1,1,1,1,D, Band Avenue March (Timothy Loest), Canon of Peace (Jennings/ ), Joy (Frank Ticheli),
7, 100-Concert Band, Collins Middle School, TEA:, Corsicana," Jeff Osbourn / Bre Osbourn, Mike Belew, Ricky Hinton",CCC,Varsity ,2017,127497,1,1,1,1,2,2,3,2,2, Conquista (Spanish March) (David Shaffer), The Fire of Eternal Glory (Shostakovich/Rhea), Oracle (Eric Rath),
8, 100-Concert Band, Collins Middle School, TEA:, Corsicana," Ricky Hinton / Jeff Osbourn, Bre Osbourn, Michael Belew",CCC,Non-Varsity ,2017,127499,1,2,3,2,2,2,2,2, , Winchester March (Edmondson), Crusade (Gassi)," Moscow, 1941  (Balmages)",
9, 100-Concert Band, Connally Middle School, TEA:, Elm Mott, Ellie Stevenson / Sarah English,CC,Varsity ,2017,127812,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA, , Activity March (Bennett/Clark), Sea Song Trilogy (McGinty), Fireball! (Beck),
10, 100-Concert Band, Gatesville Junior High, TEA:, Gatesville," Jose Sanchez / Amy Bowden, Michael Oreka",CC,Non-Varsity ,2017,128012,1,1,1,1,1,1,1,1,D, Forward March! (Paul Murtha ), Danza de Espana  (Chambers/ ), Corps of Discovery  (Owens/ ),
