,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3,oops
0, 100-Concert Band, Brackett High School, TEA:, Brackettville, Marvin willis,AA,Var-Combined ,2018,136273,2,2,2,2,3,2,2,2, , Lexington March (John Edmondson), All The Pretty Little Horses  (McGinty), Pinnacle  (Grice),
1, 100-Concert Band, C. C. Winn High School (Eagle Pass), TEA:, Eagle Pass, Alejo Garza Jr,AAAAA,Non-Varsity ,2018,136943,1,1,1,1,1,1,1,1,C, The Big Circus March (Robert Foster), Rippling Watercolors  (Balmages), Imaginarium  (Standridge),
2, 100-Concert Band, C. C. Winn High School (Eagle Pass), TEA:, Eagle Pass, Jose Raul Perez,AAAAA,Sub Non-Varsity B,2018,137713,1,1,1,1,2,2,2,2,2, Twin Cities March (John Edmondson), As Twilight Falls  (Sheldon), Night Fury  (Chambers),
3, 100-Concert Band, C. C. Winn High School (Eagle Pass), TEA:, Eagle Pass, Mr Ruben Rodriguez Jr,AAAAA,Varsity ,2018,137724,1,1,1,1,1,1,1,1,A, Domingo Ortega Concert Pasodoble (Ledesma and Oropesa), Irish Tune (from County Derry and Shepherd's Hey)  (Grainger), Ride  (Hazo),
4, 100-Concert Band, C. C. Winn High School (Eagle Pass), TEA:, Eagle Pass, Roberto A Rodriguez,AAAAA,Sub Non-Varsity A,2018,137712,1,1,1,1,1,1,1,1,C, El Gato Salvaje (Paso Doble) (Robert E. Foster), Aria Cantabile  (Erickson), Joy Revisited  (Ticheli),
5, 100-Concert Band, Carrizo Springs HS, TEA:, Carrizo Springs," Sigifredo Sanchez / Adolfo Guzman, Lura Stevens, Ismael Mu�iz",AAAA,Varsity ,2018,133938,1,1,1,1,1,1,2,1,A, Action Front (Blankenburg/Rhea), The Seal Lullaby (Eric Whitacre), Arabian Dances (Brian Balmages),
6, 100-Concert Band, Carrizo Springs Junior High, TEA:, Carrizo Springs," Adolfo Guzman / Lura Stevens, Sigifredo Sanchez, Ismael Muniz",CC,Varsity ,2018,137469,1,1,1,1,1,1,1,1,D, Lexington March (John Edmondson), Colliding Visions (Brian Balmages), Two British Folk Songs (Elliot del Borgo),
7, 100-Concert Band, Crystal City High School, TEA:, Crystal City," Steve Sanchez / Jose L. Honstein, Eliseo Morales, Victor Posada",AAAA,Non-Varsity ,2018,137594,2,1,1,1,1,2,1,1,A, Espana (Gingery), Canon of Peace  (Jennings), Fireball!  (Beck),
8, 100-Concert Band, Crystal City HS, TEA:, Crystal City," Jose L Honstein / Eliseo Morales, Victor Posada, Steve Sanchez",AAAA,Varsity ,2018,138025,1,1,1,1,1,1,1,1,A, Gallito (Lope), In The Shining Of The Stars  (Sheldon), Overture for Winds  (Carter),
9, 100-Concert Band, Del Rio Middle School, TEA:, Del Rio, Andrew Basler,CCC,Non-Varsity ,2018,137612,1,1,1,1,1,2,1,1,D, Atlantis (Anne McGinty), Serengeti Dreams (Robert Smith), Acclaim March (Larry Clark),
10, 100-Concert Band, Del Rio Middle School, TEA:, Del Rio, Jesse Brijalba,CCC,Varsity ,2018,137531,1,1,1,1,2,2,2,2,2, The American Way (Karl King/James Swearigen), Lullaby to the Moon  (Balmages), Blue Ridge Saga  (Swearingen),
11, 100-Concert Band, Eagle Pass High School, TEA:, Eagle Pass, David M Solis,AAAAAA,Varsity ,2018,133675,1,1,1,1,1,1,1,1,A, Pepita Greus (Chovi/Weger), Chorale and Shaker Dance  (Zdechlik), Ride  (Hazo),
12, 100-Concert Band, Eagle Pass High School, TEA:, Eagle Pass, Korina Meza,AAAAAA,Non-Varsity ,2018,133754,1,1,1,1,1,1,1,1,C," March ""The Southerner"" (Russell Alexander/Glen Cliffe Bainum)", With Quiet Courage  (Daehn), In the Center Ring  (Sheldon),
13, 100-Concert Band, Eagle Pass High School, TEA:, Eagle Pass, Martin Padilla,AAAAAA,Sub Non-Varsity ,2018,133766,2,1,1,1,3,2,2,2,2, Winchester March (John Edmonson), Our Kingsland Spring  (Hazo), Steel  (Standridge),
