,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3,oops
25, 100-Concert Band, Lake Travis MS, TEA:, Austin, Alyssa Trittin,CC,Non-Varsity ,2014,87280,1,1,1,1,1,1,1,1,D," The ""X"" Brigade (Action Heroes' March) (Robert Longfield )", Big Sky Round-Up  (Sheldon/ ), Voodoo Dance  (Del Borgo/ ),
26, 100-Concert Band, Leander Middle School, TEA:, Leander," Cathy Teltschik / Amanda Rhyne, David Cross",CC,Non-Varsity ,2014,92514,1,1,1,1,1,1,1,1,D, March of the Irish Guard (Traditional / James D. Ployhar), Corps of Discovery  (Owens/ ), Cascadia Celebration  (Hodges/ ),
27, 100-Concert Band, Leander Middle School, TEA:, Leander, Sara Robison / Cathy Teltschik,CC,Non-Varsity ,2014,87448, , , , , , , , , , March of the Irish Guard (Ployhar), Corps of Discovery  (Owens/ ), Cascadia Celebration  (Hodges/ ),
28, 100-Concert Band, Manor Middle School, TEA:, Manor, Michele Lang,CC,Non-Varsity ,2014,87821,3,3,3,3,3,3,3,3, , Crown of Glory (Coronation March (Robert W. Smith), Big Sky Round-Up (Sheldon/ ), Majestica (Gary Gazlay),
29, 100-Concert Band, Ridgeview Middle School, TEA:, Round Rock, Ashley Rhea,CCC,Sub Non-Varsity A,2014,87454,1,2,1,1,1,1,2,1,D, Twin Cities March (Edmondson), Distant Horizons  (Sweeney/ ), Exhortation  (Gazlay/ ),
30, 100-Concert Band, Ridgeview Middle School, TEA:, Round Rock, Pete Alvarado,CCC,Sub Non-Varsity B,2014,87449,2,3,2,2,3,3,3,3, , Acclaim March (Clark), The Spacious Firmament on High  (Sharp/ ), Fire Dance  (Akey/ ),
31, 100-Concert Band, Ridgeview Middle School, TEA:, Round Rock, Pete Alvarado,CCC,Non-Varsity ,2014,87446,1,1,1,1,1,1,1,1,D, March Zuma (O'Reilly), Colliding Visions  (Balmages/ ), Japanese Pictures  (Mixon/ ),
32, 100-Concert Band, Running Brushy Middle School, TEA:, Cedar Park, Liz Love,CCC,Sub Non-Varsity ,2014,87662,1,1,1,1,1,1,1,1,D, Infinity (Concert March) (Curnow), Little Brazil Suite  (Balent/ ), Atlantis  (McGinty/ ),
33, 100-Concert Band, Running Brushy Middle School, TEA:, Cedar Park, Mark Urbina,CCC,Non-Varsity ,2014,87653,1,1,1,1,1,1,1,1,D, Courage (March) (Bennett/Clark), Our Kingsland Spring  (Hazo/ ), Cascadia Celebration  (Hodges/ ),
34, 100-Concert Band, Stiles Middle School, TEA:, Leander, Jenna Yee,CC,Non-Varsity ,2014,87349,1,1,1,1,1,1,1,1,D, Norland March (Edmondson), Colliding Visions  (Balmages), Serengeti Dreams  (Smith),
35, 100-Concert Band, Tippit Middle School, TEA:, Georgetown, Michael Pierce,CC,Non-Varsity ,2014,87295,2,2,2,2,3,2,2,2, , Forward March (Paul Murtha), Summit Fanfare (Williams Owens), Odyssey (Arin Branchfield),
36, 100-Concert Band, Walsh Middle School, TEA:, Round Rock," Jennifer Bergeron / Russell Jones, Travis Barney",CCC,Sub Non-Varsity ,2014,88027,1,1,1,1,1,1,1,1,D, Pride of Regiment (Seward), Summit Fanfare  (Owens/ ), Fortis  (Gazlay/ ),
37, 100-Concert Band, Walsh Middle School, TEA:, Round Rock," Travis Barney / Russell Jones, Jennifer Bergeron",CCC,Non-Varsity ,2014,88028,1,1,1,1,1,1,1,1,D, Ol' Glory March (Swearingen), Kenya Contrasts  (Himes/ ), Adrenaline Engines  (Standridge/ ),
38, 100-Concert Band, Wiley Middle School, TEA:, Leander, Jennifer Arnold / Karen Kachelmeier,CC,Non-Varsity A,2014,87303,1,1,1,1,1,1,1,1,D, The Band in the Square on the Fourth of July  (LaPlante/ ), Exhortation  (Gazlay/ ), Odyssey  (Branchfield/ ),
