,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3,oops
0, 100-Concert Band, Alamo Heights Junior School, TEA:, San Antonio, Jeffrey Vogtlin,CCC,Non-Varsity ,2017,121852,2,2,2,2,1,2,1,1,2, Captain Dane  (William Owens), Our Kingsland Spring  (Hazo/ ), Fireball!  (Beck/ ),
1, 100-Concert Band, Alamo Heights Junior School, TEA:, San Antonio, Steve McGrew,CCC,Varsity ,2017,121688,1,1,1,1,1,1,1,1,C, Heaven's Light  (Reineke), Innisfree  (Strommen), Allied Honor Concert March (King/Swearingen),
2, 100-Concert Band, Bradley MS, TEA:, San Antonio, Emily Gurwitz,CCC,Varsity ,2017,124226,1,1,1,1,1,1,1,1,C, Sound Off March (Sousa/Brion), Summer Dances (Balmages), Choreography (Sheldon),
3, 100-Concert Band, Bradley MS, TEA:, San Antonio, Jett Walker,CCC,Non-Varsity ,2017,124255,1,1,1,1,1,1,1,1,D, Fortis  (Gazlay/ ), The Band in the Square on the Fourth of July  (LaPlante/ ), New Horizons  (Corrigan/ ),
4, 100-Concert Band, Bush MS, TEA:, San Antonio, Erin Sharkey / Gabriel Rosas,CCC,Non-Varsity ,2017,127826,1,2,1,1,1,1,1,1,D, Elite March (Sandy Feldstein & Larry Clark ), Danza de Espana (Carol Brittin Chambers), Pinnacle (Rob Grice),
5, 100-Concert Band, Bush MS, TEA:, San Antonio, Gabriel Rosas,CCC,Varsity ,2017,127854,1,1,1,1,1,1,1,1,C, Our Flirtations March (John Phillip Sousa/Watson), The Seal Lullaby  (Whitacre/ ), Puszta  (Van der Roost/ ),
6, 100-Concert Band, Cuero JHS, TEA:, Cuero, Brian Black / Richard Varela,CC,Varsity ,2017,120637,2,3,3,3,3,3,3,3, , Wedgwood March (William Owens), As Twilight Falls  (Sheldon/ ), Dance Celebration  (Smith/ ),
7, 100-Concert Band, Driscoll MS, TEA:, San Antonio, Danielle Aicher,CC,Non-Varsity ,2017,124626,1,1,1,1,1,1,1,1,D, March Zuma (John O'Reilly), Dance Celebration (Smith/ ), Egyptique  (William Owens),
8, 100-Concert Band, Driscoll MS, TEA:, San Antonio, Richard Gonzalez,CC,Varsity ,2017,124775,1,1,1,1,1,1,1,1,C, E Pluribus Unum March (Jewell/Paynter), Variations on Scarborough Fair  (Custer/ ), Suite Provencale  (Van der Roost/ ),
9, 100-Concert Band, Edward H White Middle School, TEA:, San Antonio, Amy Worman / Joseph McLemore,CC,Varsity ,2017,120035,2,2,2,2,2,1,2,2, , The Big Circus March (Robert Foster), Soldiers' Procession and Sword Dance (Margolis), Fireball! (Beck),
