,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3,oops
0, 100-Concert Band, Angleton High School, TEA:, Angleton," Aaron Hinze / Richard Thomas, Scott Fairdosi",AAAAA,Non-Varsity A,2021,166674,1,1,1,1,1,1,2,1,C, Alamo March (King/Swearingen), Colliding Visions (Balmages/), Red Giant (Vargas/),
1, 100-Concert Band, Angleton High School, TEA:, Angleton," Richard Thomas / Aaron Hinze, Scott Fairdosi",AAAAA,Sub Non-Varsity A,2021,166666,1,2,1,1,2,1,2,2,2, Atlantis  (McGinty ), Sakura (Traditional/Story), Armory (Standridge),
2, 100-Concert Band, Angleton High School, TEA:, Angleton," Richard Thomas / Aaron Hinze, Scott Fairdosi",AAAAA,Varsity ,2021,166663,1,1,1,1,1,1,1,1,B, Amparito Roca (Texidor / Fagan ), Three Folk Miniatures (Anon. or Trad./Jutras), Choreography (Sheldon),
3, 100-Concert Band, Ball High School, TEA:, Galveston, Andrew Vowell / Steven Farrell,AAAAA,Sub Non-Varsity A,2021,165123,3,3,2,3,3,2,2,2, , Chimes of Freedom (Robert W. Smith), Maesong  (Owens), Japanese Pictures  (Mixon),
4, 100-Concert Band, Ball High School, TEA:, Galveston, Steven Farrell / Andrew Vowell,AAAAA,Non-Varsity ,2021,165043,3,3,1,3,2,1,1,1,2, Hero Tale (Ilari Hylkila), Song for Hope  (Sweeney), Imaginarium  (Standridge),
5, 100-Concert Band, Brazoswood High School, TEA:, Clute, DJ Eisenhart,AAAAAA,Sub Non-Varsity ,2021,165027,1,1,1,1,2,1,1,1,C, Mighty Mite (Ted Mesang/Sean O'Loughlin), Our Kingsland Spring (Samuel Hazo), Kentucky 1800 (Clare Grundman),
6, 100-Concert Band, Brazoswood High School, TEA:, Clute," Mark Nichols / Martin Montoya, DJ Eisenhart, Jeremiah Jones",AAAAAA,Non-Varsity A,2021,164829,1,1,1,1,1,1,1,1,C, Amazing Grace (Ticheli/), A Longford Legend (Sheldon/), El Relicario (Padilla/ Longfield),
7, 100-Concert Band, Brazoswood High School, TEA:, Clute," Martin Montoya / DJ Eisenhart, Mark Nichols, Jeremiah Jones",AAAAAA,Varsity ,2021,164824,1,1,1,1,1,1,1,1,A, Noisy Wheels of Joy  (Whitacre)," Carmina Burana (play mvts 1, 2, 13, plus four other mvts) (Orff/Krance)", Amparito Roca (Texidor/Winter),
8, 100-Concert Band, Clear Brook High School, TEA:, Friendswood," Brad Hughes / Robert Beavers, Dusty Norris",AAAAAA,Varsity ,2021,164796,1,1,1,1,1,1,1,1,A, Four Scottish Dances (Arnold/Paynter), First Suite in Eb for Military Band (Holst/Matthews/Fennell), Entry of the Gladiators (Fucik/Laurendeau/Seredy/Ragsdale),
9, 100-Concert Band, Clear Creek High School, TEA:, Houston, Jonathan Morales,AAAAAA,Non-Varsity ,2021,165955,1,1,1,1,1,1,1,1,C, Broken Bow  (Strommen), West Highlands Sojourn (play two contrasting mvts) (Sheldon), Alamo March (King/Swearingen),
10, 100-Concert Band, Clear Creek High School, TEA:, League City, Tate Fincher,AAAAAA,Varsity ,2021,164931,1,1,1,1,1,1,1,1,A," March from ""Things to Come"" (Bliss)", Awayday  (Gorb), Zion  (Welcher),
11, 100-Concert Band, Clear Falls HS, TEA:, League City, Brian Moreno / Samantha Muckleroy and Nathan Valdez,AAAAAA,Varsity ,2021,164797,1,1,1,1,1,1,1,1,A, The Pines of Rome (play mvt 4) (Respighi/Duker), La Procession du Rocio  (Turina/Reed), With Pleasure Dance Hilarious (Sousa/Schissel),
12, 100-Concert Band, Clear Lake High School, TEA:, Houston," John Pearce / Loren Gray, Nick Camacho",AAAAAA,Varsity ,2021,165165,1,1,1,1,1,1,1,1,A, Comrades of the Legion (Sousa), Salvation is Created (Tschesnokoff/Houseknecht), First Suite in Eb for Military Band (Holst),
13, 100-Concert Band, Clear Springs High School, TEA:, League City," Lester Williams / Emmy Johnston, Jon Witmer",AAAAAA,Varsity ,2021,165412,1,1,1,1,1,1,1,1,A, Barnum and Bailey''s Favorite (King/Bainum), Danse Bacchanale (Saint-Saens/Steiger), Symphonic Dance No. 3 (Fiesta) (Williams/),
14, 100-Concert Band, Dickinson High School, TEA:, Dickinson," Trevor Braselton / Aaron Stickley, Risa Hsu, Robert Wang and Todd Sommer",AAAAAA,Sub Non-Varsity A,2021,164814,1,1,1,1,1,1,1,1,C, Advance March  (Bennett/Clark), Fantasy on an Early American Marching Tune (Sheldon), Danza de Espana (Chambers),
15, 100-Concert Band, Dickinson High School, TEA:, Dickinson," Trevor Braselton / Risa Hsu, Aaron Stickley, Robert Wang and Todd Sommer",AAAAAA,Non-Varsity A,2021,164812,1,1,1,1,1,1,1,1,C, Peacemaker (Karl King), J.S. Jig (Karrick), Armenian Rhapsody (Vinson),
16, 100-Concert Band, Dickinson High School, TEA:, Dickinson," Trevor Braselton / Risa Hsu, Aaron Stickley, Robert Wang and Todd Sommer",AAAAAA,Varsity ,2021,164811,1,1,1,1,1,1,1,1,B, National Emblem (Bagley), Four Scottish Dances (Arnold/Paynter), Symphony No. 6- Third Movement (Tschaikowsky/Daehn),
17, 100-Concert Band, Friendswood High School, TEA:, Friendswood," Brett Nelson / Julio Sanchez, Maycie Meyer",AAAAA,Varsity ,2021,165017,1,1,1,1,1,1,1,1,B, From Maine to Oregon March (Sousa)," Symphonic Dances, Op. 45, Mvt. III (Rachmaninoff/Lavender)", Meditation at Lagunitas  (Dooley ),
18, 100-Concert Band, Friendswood High School, TEA:, Friendswood," Julio Sanchez / Brett Nelson, Maycie Meyer", Acc:None,AAAAA,Non-Varsity A,2021,165236,1,1,1,1,1,1,1,1,C, The Man Behind the Gun (John Philip Sousa), The Rusty Bucket (Chambers/), Magnolia Star (Danyew/)
19, 100-Concert Band, Friendswood High School, TEA:, Friendswood," Maycie Meyer / Brett Nelson, Julio Sanchez",AAAAA,Sub Non-Varsity A,2021,165235,1,1,1,1,1,1,1,1,C, Latin Folk Song Trilogy (Himes/), Hypnotic Fireflies (Balmages/), Genius March (Bennett/Clarke),
20, 100-Concert Band, Santa Fe High School, TEA:, Santa Fe, Matthew Raines / Maxim Phillips,AAAAA,Non-Varsity ,2021,166338,2,2,1,2,1,1,1,1,2, Alamo (K. L. King), Sunchaser  (Chambers), West Highlands Sojourn  (Sheldon),
21, 100-Concert Band, Texas City High School, TEA:, Texas City," Benjamin Guillotte / Joshua Duarte, Steven Scott",AAAAA,Varsity ,2021,165239,1,1,1,1,2,1,2,2,1, Amparito Roca (Jaime Texidor/Gary Fagan), Appalachian Morning (Sheldon/), Brookshire Suite (Barnes/),
