,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3,oops
0, 100-Concert Band, Estacado High School, TEA:, Lubbock, Sean Hill / Jared Dallas,AAAA,Varsity ,2015,100575,1,1,1,1,2,2,1,2,1, Domingo Ortega (Ledesma/ Oropesa/ Wiley), Abracadabra  (Ticheli/ ), Blue Ridge Reel  (Balmages/ ),
1, 100-Concert Band, Jayton High School, TEA:, Jayton, David Eakins / Mike Wilson,A,Var-Composite ,2015,100615,1,1,1,1,1,1,1,1,B," With Pride and Dignity (Owens/D'Alicandro, Jr.)", The Spirit of an Eagle (Clark), Pinnacle (Grice),
2, 100-Concert Band, New Deal High School, TEA:, New Deal, James Nance / Kay Nance,AA,Var-Composite ,2015,100351,1,1,1,1,1,1,1,1,A, Le Sabre (Eric Osterling), Quintology  (Meyer/ ), Our Kingsland Spring  (Hazo/ ),
3, 100-Concert Band, ODonnell, TEA:, O'Donnell, Gary Beach,A,Var-Composite ,2015,99971,1,1,1,1,1,2,2,2,1, Highlands March (Barry Ward), Courtlandt County Festival (William Owens), Dance Celebration (Robert W. Smith),
4, 100-Concert Band, Plains High School, TEA:, Plains, Darryl Schwierjohn / Jeff Anderson,AA,Varsity ,2015,100230,2,1,1,1,1,2,2,2,1, Lexington March (John Edmondson), Kenya Contrasts  (William Himes), Storm Mountain Jubilee  (Carl Strommen),
5, 100-Concert Band, Post High School, TEA:, post, Aaron Rathbun / Bernie Tackitt, Acc:na,AAA,Varsity ,2015,96554,1,1,1,1,1,1,1,1,A, Modal Song and Dance (Del Borgo/ ), Crest of Nobility (Sheldon/ ), The Gladiator (Sousa/Shaffer)
6, 100-Concert Band, Ropes ISD, TEA:, Ropesville, Jerod Hon / Billy Talerico,A,Var-Composite ,2015,100377,1,1,1,1,1,1,1,1,A, Alamo March (Karl L. King/James Swearingen), Appalachian Morning  (Sheldon/ ), Flight of Eagles  (Del Borgo/ ),
7, 100-Concert Band, Slaton High School, TEA:, Slaton, Trey Gossett,AAA,Varsity ,2015,100529,2,2,1,2,2,2,1,2, , Fort Canterbury March (Holsinger), Spring Song  (Nowak/ ), Canterbury Coronation  (Curnow/ ),
8, 100-Concert Band, Springlake-Earth High School, TEA:, Earth, Charlie Goodson,A,Var-Composite ,2015,100553,3,3,3,3,2,2,1,2, , Russian Sailor's Dance  (Gliere/Williams), Conquista (Shaffer), Cedar Canyon Round Up  (Williams/ ),
9, 100-Concert Band, Sundown HS, TEA:, Sundown, Mike Glaze / Georgann Weisgerber and Mack Bibb,AA,Var-Composite ,2015,98517,1,1,1,1,1,1,1,1,A, For the New Day Arisen (Barton), Irish Tune (from County Derry)  (Grainger/Rogers/SMC), Knights of Dunvegan  (Meyer),
10, 100-Concert Band, Whiteface High School, TEA:, Whiteface, Dan McCasland / Nora Brazil,A,Var-Composite ,2015,100368,1,1,1,1,1,1,1,1,A, Winchester March (Edmondson), Maesong (Owens/), Fortis  (Gazlay/ ),
